year,global,mod_reg,cause,death_rate
2013,1,,Drowning,6.012463
2014,1,,Drowning,5.961607
2015,1,,Drowning,5.882197
2016,1,,Drowning,5.799833
2000,1,,HIV/AIDS,1.776352
2001,1,,HIV/AIDS,1.972733
2002,1,,HIV/AIDS,2.176021
2003,1,,HIV/AIDS,2.411804
2004,1,,HIV/AIDS,2.679116
2005,1,,HIV/AIDS,2.896323
2006,1,,HIV/AIDS,3.123968
2007,1,,HIV/AIDS,3.376208
2008,1,,HIV/AIDS,3.571751
2009,1,,HIV/AIDS,3.752154
2010,1,,HIV/AIDS,3.923697
2011,1,,HIV/AIDS,4.225986
2012,1,,HIV/AIDS,4.606813
2013,1,,HIV/AIDS,4.848764
2014,1,,HIV/AIDS,4.964231
2015,1,,HIV/AIDS,4.958679
2016,1,,HIV/AIDS,4.909272
2000,1,,Tuberculosis,7.227336
2001,1,,Tuberculosis,6.926029
2002,1,,Tuberculosis,6.593017
2003,1,,Tuberculosis,6.289042
2004,1,,Tuberculosis,5.990503
2005,1,,Tuberculosis,5.803628
2006,1,,Tuberculosis,5.58367
2007,1,,Tuberculosis,5.421118
2008,1,,Tuberculosis,5.24395
2009,1,,Tuberculosis,5.092757
2010,1,,Tuberculosis,4.990633
2011,1,,Tuberculosis,4.878267
2012,1,,Tuberculosis,4.79522
2013,1,,Tuberculosis,4.704692
2014,1,,Tuberculosis,4.709909
2015,1,,Tuberculosis,4.553625
2016,1,,Tuberculosis,4.407242
2000,,AFR LMIC,Road injury,40.06924
2001,,AFR LMIC,Road injury,40.11729
2002,,AFR LMIC,Road injury,40.76492
2003,,AFR LMIC,Road injury,41.35236
2004,,AFR LMIC,Road injury,41.6091
2005,,AFR LMIC,Road injury,41.71674
2006,,AFR LMIC,Road injury,41.59117
2007,,AFR LMIC,Road injury,41.19826
2008,,AFR LMIC,Road injury,41.46549
2009,,AFR LMIC,Road injury,41.81248
2010,,AFR LMIC,Road injury,42.00492
2011,,AFR LMIC,Road injury,41.61034
2012,,AFR LMIC,Road injury,41.49451
2013,,AFR LMIC,Road injury,41.51037
2014,,AFR LMIC,Road injury,41.64729
2015,,AFR LMIC,Road injury,41.41641
2016,,AFR LMIC,Road injury,41.75399
2000,,AFR LMIC,HIV/AIDS,10.64807
2001,,AFR LMIC,HIV/AIDS,12.32199
2002,,AFR LMIC,HIV/AIDS,14.13222
2003,,AFR LMIC,HIV/AIDS,16.12353
2004,,AFR LMIC,HIV/AIDS,18.19861
2005,,AFR LMIC,HIV/AIDS,19.70633
2006,,AFR LMIC,HIV/AIDS,21.08639
2007,,AFR LMIC,HIV/AIDS,22.39338
2008,,AFR LMIC,HIV/AIDS,23.13937
2009,,AFR LMIC,HIV/AIDS,23.58944
2010,,AFR LMIC,HIV/AIDS,23.95797
2011,,AFR LMIC,HIV/AIDS,25.10104
2012,,AFR LMIC,HIV/AIDS,26.5942
2013,,AFR LMIC,HIV/AIDS,27.18185
2014,,AFR LMIC,HIV/AIDS,27.04471
2015,,AFR LMIC,HIV/AIDS,26.22209
2016,,AFR LMIC,HIV/AIDS,25.28661
2000,,AFR LMIC,Interpersonal violence,29.79338
2001,,AFR LMIC,Interpersonal violence,29.60863
2002,,AFR LMIC,Interpersonal violence,28.94834
2003,,AFR LMIC,Interpersonal violence,28.12186
2004,,AFR LMIC,Interpersonal violence,27.47081
2005,,AFR LMIC,Interpersonal violence,27.05986
2006,,AFR LMIC,Interpersonal violence,26.72826
2007,,AFR LMIC,Interpersonal violence,26.20748
2008,,AFR LMIC,Interpersonal violence,25.86633
2009,,AFR LMIC,Interpersonal violence,25.32228
2010,,AFR LMIC,Interpersonal violence,24.69579
2011,,AFR LMIC,Interpersonal violence,24.35357
2012,,AFR LMIC,Interpersonal violence,24.0315
2013,,AFR LMIC,Interpersonal violence,23.64362
2014,,AFR LMIC,Interpersonal violence,23.32696
2015,,AFR LMIC,Interpersonal violence,23.05373
2016,,AFR LMIC,Interpersonal violence,22.79819
2000,,AFR LMIC,Diarrhoeal diseases,33.0436
2001,,AFR LMIC,Diarrhoeal diseases,32.49869
2002,,AFR LMIC,Diarrhoeal diseases,31.51457
2003,,AFR LMIC,Diarrhoeal diseases,30.95322
2004,,AFR LMIC,Diarrhoeal diseases,29.83689
2005,,AFR LMIC,Diarrhoeal diseases,28.3323
2006,,AFR LMIC,Diarrhoeal diseases,27.11847
2007,,AFR LMIC,Diarrhoeal diseases,26.05334
2008,,AFR LMIC,Diarrhoeal diseases,25.29917
2009,,AFR LMIC,Diarrhoeal diseases,24.41468
2010,,AFR LMIC,Diarrhoeal diseases,23.6274
2011,,AFR LMIC,Diarrhoeal diseases,22.75329
2012,,AFR LMIC,Diarrhoeal diseases,22.05856
2013,,AFR LMIC,Diarrhoeal diseases,21.43729
2014,,AFR LMIC,Diarrhoeal diseases,20.72267
2015,,AFR LMIC,Diarrhoeal diseases,20.04555
2016,,AFR LMIC,Diarrhoeal diseases,19.33981
2000,,AFR LMIC,Meningitis,18.40427
2001,,AFR LMIC,Meningitis,18.41437
2002,,AFR LMIC,Meningitis,17.95378
2003,,AFR LMIC,Meningitis,18.0038
2004,,AFR LMIC,Meningitis,17.49934
2005,,AFR LMIC,Meningitis,16.85993
2006,,AFR LMIC,Meningitis,16.61133
2007,,AFR LMIC,Meningitis,16.44817
2008,,AFR LMIC,Meningitis,16.3265
2009,,AFR LMIC,Meningitis,16.3964
2010,,AFR LMIC,Meningitis,16.1123
2011,,AFR LMIC,Meningitis,15.91773
2012,,AFR LMIC,Meningitis,15.97355
2013,,AFR LMIC,Meningitis,15.89791
2014,,AFR LMIC,Meningitis,15.81204
2015,,AFR LMIC,Meningitis,15.67327
2016,,AFR LMIC,Meningitis,15.58608
2000,,AFR LMIC,Tuberculosis,24.9168
2001,,AFR LMIC,Tuberculosis,24.11992
2002,,AFR LMIC,Tuberculosis,23.27323
2003,,AFR LMIC,Tuberculosis,22.53511
2004,,AFR LMIC,Tuberculosis,21.7996
2005,,AFR LMIC,Tuberculosis,21.47161
2006,,AFR LMIC,Tuberculosis,20.64951
2007,,AFR LMIC,Tuberculosis,20.12484
2008,,AFR LMIC,Tuberculosis,18.94756
2009,,AFR LMIC,Tuberculosis,18.14954
2010,,AFR LMIC,Tuberculosis,17.55371
2011,,AFR LMIC,Tuberculosis,17.16572
2012,,AFR LMIC,Tuberculosis,16.87202
2013,,AFR LMIC,Tuberculosis,16.49952
2014,,AFR LMIC,Tuberculosis,16.69473
2015,,AFR LMIC,Tuberculosis,15.92104
2016,,AFR LMIC,Tuberculosis,15.28521
2000,,AMR LMIC,Interpersonal violence,63.45704
2001,,AMR LMIC,Interpersonal violence,65.65176
2002,,AMR LMIC,Interpersonal violence,68.19567
2003,,AMR LMIC,Interpersonal violence,63.83841
2004,,AMR LMIC,Interpersonal violence,58.84401
2005,,AMR LMIC,Interpersonal violence,58.52393
2006,,AMR LMIC,Interpersonal violence,59.34988
2007,,AMR LMIC,Interpersonal violence,57.24117
2008,,AMR LMIC,Interpersonal violence,61.55005
2009,,AMR LMIC,Interpersonal violence,66.01384
2010,,AMR LMIC,Interpersonal violence,66.99965
2011,,AMR LMIC,Interpersonal violence,68.11409
2012,,AMR LMIC,Interpersonal violence,71.13742
2013,,AMR LMIC,Interpersonal violence,67.86658
2014,,AMR LMIC,Interpersonal violence,68.68168
2015,,AMR LMIC,Interpersonal violence,68.41246
2016,,AMR LMIC,Interpersonal violence,68.46033
2000,,AMR LMIC,Road injury,22.07472
2001,,AMR LMIC,Road injury,22.52193
2002,,AMR LMIC,Road injury,23.30043
2003,,AMR LMIC,Road injury,22.24132
2004,,AMR LMIC,Road injury,22.64926
2005,,AMR LMIC,Road injury,22.85372
2006,,AMR LMIC,Road injury,24.30547
2007,,AMR LMIC,Road injury,25.22567
2008,,AMR LMIC,Road injury,27.10918
2009,,AMR LMIC,Road injury,26.33625
2010,,AMR LMIC,Road injury,26.78852
2011,,AMR LMIC,Road injury,27.8891
2012,,AMR LMIC,Road injury,29.84527
2013,,AMR LMIC,Road injury,29.44655
2014,,AMR LMIC,Road injury,30.96422
2015,,AMR LMIC,Road injury,29.81372
2016,,AMR LMIC,Road injury,30.4948
2000,,AMR LMIC,Self-harm,8.930215
2001,,AMR LMIC,Self-harm,9.562965
2002,,AMR LMIC,Self-harm,9.340518
2003,,AMR LMIC,Self-harm,9.226438
2004,,AMR LMIC,Self-harm,9.323549
2005,,AMR LMIC,Self-harm,8.965656
2006,,AMR LMIC,Self-harm,8.955816
2007,,AMR LMIC,Self-harm,8.995735
2008,,AMR LMIC,Self-harm,9.256552
2009,,AMR LMIC,Self-harm,9.285536
2010,,AMR LMIC,Self-harm,9.306722
2011,,AMR LMIC,Self-harm,9.760549
2012,,AMR LMIC,Self-harm,10.44447
2013,,AMR LMIC,Self-harm,9.691332
2014,,AMR LMIC,Self-harm,9.887632
2015,,AMR LMIC,Self-harm,10.64945
2016,,AMR LMIC,Self-harm,9.929297
2000,,AMR LMIC,Drowning,10.75519
2001,,AMR LMIC,Drowning,10.43636
2002,,AMR LMIC,Drowning,11.10533
2003,,AMR LMIC,Drowning,9.817433
2004,,AMR LMIC,Drowning,9.598762
2005,,AMR LMIC,Drowning,9.509683
2006,,AMR LMIC,Drowning,9.178452
2007,,AMR LMIC,Drowning,8.943809
2008,,AMR LMIC,Drowning,9.055917
2009,,AMR LMIC,Drowning,8.853457
2010,,AMR LMIC,Drowning,8.021803
2011,,AMR LMIC,Drowning,7.948408
2012,,AMR LMIC,Drowning,8.247938
2013,,AMR LMIC,Drowning,7.695262
2014,,AMR LMIC,Drowning,7.997265
2015,,AMR LMIC,Drowning,8.020808
2016,,AMR LMIC,Drowning,8.079762
2000,,AMR LMIC,Leukaemia,3.223026
2001,,AMR LMIC,Leukaemia,3.442821
2002,,AMR LMIC,Leukaemia,3.319957
2003,,AMR LMIC,Leukaemia,3.598379
2004,,AMR LMIC,Leukaemia,3.234462
2005,,AMR LMIC,Leukaemia,3.52133
2006,,AMR LMIC,Leukaemia,3.118903
2007,,AMR LMIC,Leukaemia,3.503145
2008,,AMR LMIC,Leukaemia,3.317909
2009,,AMR LMIC,Leukaemia,3.459353
2010,,AMR LMIC,Leukaemia,3.357247
2011,,AMR LMIC,Leukaemia,3.493407
2012,,AMR LMIC,Leukaemia,3.390845
2013,,AMR LMIC,Leukaemia,3.390393
2014,,AMR LMIC,Leukaemia,3.429105
2015,,AMR LMIC,Leukaemia,3.677255
2016,,AMR LMIC,Leukaemia,3.63705
2000,,AMR LMIC,Lower respiratory infections,3.907413
2001,,AMR LMIC,Lower respiratory infections,3.850124
2002,,AMR LMIC,Lower respiratory infections,3.668588
2003,,AMR LMIC,Lower respiratory infections,3.735082
2004,,AMR LMIC,Lower respiratory infections,3.706875
2005,,AMR LMIC,Lower respiratory infections,3.382274
2006,,AMR LMIC,Lower respiratory infections,3.563879
2007,,AMR LMIC,Lower respiratory infections,3.337225
2008,,AMR LMIC,Lower respiratory infections,3.17541
2009,,AMR LMIC,Lower respiratory infections,3.625856
2010,,AMR LMIC,Lower respiratory infections,3.447287
2011,,AMR LMIC,Lower respiratory infections,3.206707
2012,,AMR LMIC,Lower respiratory infections,3.198832
2013,,AMR LMIC,Lower respiratory infections,3.456159
2014,,AMR LMIC,Lower respiratory infections,3.451249
2015,,AMR LMIC,Lower respiratory infections,3.385577
2016,,AMR LMIC,Lower respiratory infections,3.428965
2000,,EMR LMIC,Collective violence and legal intervention,10.25217
2001,,EMR LMIC,Collective violence and legal intervention,5.187522
2002,,EMR LMIC,Collective violence and legal intervention,2.517451
2003,,EMR LMIC,Collective violence and legal intervention,14.49914
2004,,EMR LMIC,Collective violence and legal intervention,14.00056
2005,,EMR LMIC,Collective violence and legal intervention,13.02329
2006,,EMR LMIC,Collective violence and legal intervention,22.20646
2007,,EMR LMIC,Collective violence and legal intervention,20.29485
2008,,EMR LMIC,Collective violence and legal intervention,12.36618
2009,,EMR LMIC,Collective violence and legal intervention,11.92114
2010,,EMR LMIC,Collective violence and legal intervention,11.50159
2011,,EMR LMIC,Collective violence and legal intervention,13.82668
2012,,EMR LMIC,Collective violence and legal intervention,28.14464
2013,,EMR LMIC,Collective violence and legal intervention,35.31516
2014,,EMR LMIC,Collective violence and legal intervention,47.23603
2015,,EMR LMIC,Collective violence and legal intervention,43.91822
2016,,EMR LMIC,Collective violence and legal intervention,38.88689
2000,,EMR LMIC,Road injury,28.98141
2001,,EMR LMIC,Road injury,28.5868
2002,,EMR LMIC,Road injury,28.51516
2003,,EMR LMIC,Road injury,29.53181
2004,,EMR LMIC,Road injury,29.30514
2005,,EMR LMIC,Road injury,29.09162
2006,,EMR LMIC,Road injury,29.35147
2007,,EMR LMIC,Road injury,28.46396
2008,,EMR LMIC,Road injury,28.56358
2009,,EMR LMIC,Road injury,28.38751
2010,,EMR LMIC,Road injury,28.33689
2011,,EMR LMIC,Road injury,27.4486
2012,,EMR LMIC,Road injury,25.74525
2013,,EMR LMIC,Road injury,25.78312
2014,,EMR LMIC,Road injury,25.43023
2015,,EMR LMIC,Road injury,25.16424
2016,,EMR LMIC,Road injury,25.56742
2000,,EMR LMIC,Interpersonal violence,13.11611
2001,,EMR LMIC,Interpersonal violence,13.14713
2002,,EMR LMIC,Interpersonal violence,12.75574
2003,,EMR LMIC,Interpersonal violence,12.46436
2004,,EMR LMIC,Interpersonal violence,12.41074
2005,,EMR LMIC,Interpersonal violence,12.34198
2006,,EMR LMIC,Interpersonal violence,12.40744
2007,,EMR LMIC,Interpersonal violence,12.40591
2008,,EMR LMIC,Interpersonal violence,12.78524
2009,,EMR LMIC,Interpersonal violence,12.75114
2010,,EMR LMIC,Interpersonal violence,12.81579
2011,,EMR LMIC,Interpersonal violence,12.88943
2012,,EMR LMIC,Interpersonal violence,12.80657
2013,,EMR LMIC,Interpersonal violence,12.84542
2014,,EMR LMIC,Interpersonal violence,12.71388
2015,,EMR LMIC,Interpersonal violence,12.5791
2016,,EMR LMIC,Interpersonal violence,12.58389
2000,,EMR LMIC,Drowning,7.874532
2001,,EMR LMIC,Drowning,7.702437
2002,,EMR LMIC,Drowning,7.507905
2003,,EMR LMIC,Drowning,7.33633
2004,,EMR LMIC,Drowning,7.348298
2005,,EMR LMIC,Drowning,7.175311
2006,,EMR LMIC,Drowning,7.049258
2007,,EMR LMIC,Drowning,6.979418
2008,,EMR LMIC,Drowning,6.772967
2009,,EMR LMIC,Drowning,6.295297
2010,,EMR LMIC,Drowning,5.733142
2011,,EMR LMIC,Drowning,5.42654
2012,,EMR LMIC,Drowning,5.451253
2013,,EMR LMIC,Drowning,5.561496
2014,,EMR LMIC,Drowning,5.380958
2015,,EMR LMIC,Drowning,5.183791
2016,,EMR LMIC,Drowning,5.245664
2000,,EMR LMIC,Self-harm,7.100853
2001,,EMR LMIC,Self-harm,7.030097
2002,,EMR LMIC,Self-harm,6.95373
2003,,EMR LMIC,Self-harm,6.704475
2004,,EMR LMIC,Self-harm,6.769289
2005,,EMR LMIC,Self-harm,6.711283
2006,,EMR LMIC,Self-harm,6.66693
2007,,EMR LMIC,Self-harm,6.817453
2008,,EMR LMIC,Self-harm,6.61153
2009,,EMR LMIC,Self-harm,6.061001
2010,,EMR LMIC,Self-harm,5.424564
2011,,EMR LMIC,Self-harm,5.037563
2012,,EMR LMIC,Self-harm,5.07385
2013,,EMR LMIC,Self-harm,5.152935
2014,,EMR LMIC,Self-harm,5.063525
2015,,EMR LMIC,Self-harm,4.958512
2016,,EMR LMIC,Self-harm,5.062125
2000,,EUR LMIC,Road injury,19.86224
2001,,EUR LMIC,Road injury,19.42473
2002,,EUR LMIC,Road injury,19.18379
2003,,EUR LMIC,Road injury,19.58362
2004,,EUR LMIC,Road injury,19.16229
2005,,EUR LMIC,Road injury,19.80378
2006,,EUR LMIC,Road injury,20.40231
2007,,EUR LMIC,Road injury,21.84721
2008,,EUR LMIC,Road injury,19.31978
2009,,EUR LMIC,Road injury,16.82315
2010,,EUR LMIC,Road injury,15.34603
2011,,EUR LMIC,Road injury,15.6639
2012,,EUR LMIC,Road injury,15.24472
2013,,EUR LMIC,Road injury,15.38514
2014,,EUR LMIC,Road injury,15.55374
2015,,EUR LMIC,Road injury,14.58622
2016,,EUR LMIC,Road injury,14.41026
2000,,EUR LMIC,Self-harm,28.56883
2001,,EUR LMIC,Self-harm,27.17053
2002,,EUR LMIC,Self-harm,25.98993
2003,,EUR LMIC,Self-harm,24.82591
2004,,EUR LMIC,Self-harm,23.74669
2005,,EUR LMIC,Self-harm,23.35967
2006,,EUR LMIC,Self-harm,22.86925
2007,,EUR LMIC,Self-harm,22.07009
2008,,EUR LMIC,Self-harm,21.52573
2009,,EUR LMIC,Self-harm,19.45688
2010,,EUR LMIC,Self-harm,18.41557
2011,,EUR LMIC,Self-harm,17.5941
2012,,EUR LMIC,Self-harm,17.17606
2013,,EUR LMIC,Self-harm,16.15789
2014,,EUR LMIC,Self-harm,15.73678
2015,,EUR LMIC,Self-harm,14.64128
2016,,EUR LMIC,Self-harm,14.125
2000,,EUR LMIC,Drowning,13.94909
2001,,EUR LMIC,Drowning,12.53047
2002,,EUR LMIC,Drowning,11.41351
2003,,EUR LMIC,Drowning,10.56543
2004,,EUR LMIC,Drowning,9.623837
2005,,EUR LMIC,Drowning,9.467463
2006,,EUR LMIC,Drowning,8.871929
2007,,EUR LMIC,Drowning,8.401597
2008,,EUR LMIC,Drowning,8.011875
2009,,EUR LMIC,Drowning,7.02698
2010,,EUR LMIC,Drowning,6.787256
2011,,EUR LMIC,Drowning,6.145048
2012,,EUR LMIC,Drowning,6.011078
2013,,EUR LMIC,Drowning,5.584331
2014,,EUR LMIC,Drowning,5.635647
2015,,EUR LMIC,Drowning,5.268982
2016,,EUR LMIC,Drowning,5.026404
2000,,EUR LMIC,Interpersonal violence,12.6455
2001,,EUR LMIC,Interpersonal violence,12.07021
2002,,EUR LMIC,Interpersonal violence,11.57734
2003,,EUR LMIC,Interpersonal violence,10.63624
2004,,EUR LMIC,Interpersonal violence,9.691706
2005,,EUR LMIC,Interpersonal violence,8.932351
2006,,EUR LMIC,Interpersonal violence,7.961914
2007,,EUR LMIC,Interpersonal violence,7.047944
2008,,EUR LMIC,Interpersonal violence,6.365254
2009,,EUR LMIC,Interpersonal violence,5.593359
2010,,EUR LMIC,Interpersonal violence,5.004148
2011,,EUR LMIC,Interpersonal violence,4.827275
2012,,EUR LMIC,Interpersonal violence,4.484223
2013,,EUR LMIC,Interpersonal violence,4.129712
2014,,EUR LMIC,Interpersonal violence,3.996531
2015,,EUR LMIC,Interpersonal violence,3.880735
2016,,EUR LMIC,Interpersonal violence,3.843072
2000,,EUR LMIC,Lower respiratory infections,3.980892
2001,,EUR LMIC,Lower respiratory infections,3.533388
2002,,EUR LMIC,Lower respiratory infections,3.529124
2003,,EUR LMIC,Lower respiratory infections,3.323364
2004,,EUR LMIC,Lower respiratory infections,3.00652
2005,,EUR LMIC,Lower respiratory infections,3.101297
2006,,EUR LMIC,Lower respiratory infections,3.132834
2007,,EUR LMIC,Lower respiratory infections,3.011909
2008,,EUR LMIC,Lower respiratory infections,3.000081
2009,,EUR LMIC,Lower respiratory infections,3.036891
2010,,EUR LMIC,Lower respiratory infections,2.972198
2011,,EUR LMIC,Lower respiratory infections,2.766251
2012,,EUR LMIC,Lower respiratory infections,2.650925
2013,,EUR LMIC,Lower respiratory infections,2.820021
2014,,EUR LMIC,Lower respiratory infections,2.418263
2015,,EUR LMIC,Lower respiratory infections,2.485641
2016,,EUR LMIC,Lower respiratory infections,2.426612
2000,,EUR LMIC,Drug use disorders,5.85316
2001,,EUR LMIC,Drug use disorders,5.039163
2002,,EUR LMIC,Drug use disorders,4.287576
2003,,EUR LMIC,Drug use disorders,3.863061
2004,,EUR LMIC,Drug use disorders,3.464862
2005,,EUR LMIC,Drug use disorders,3.324896
2006,,EUR LMIC,Drug use disorders,3.272524
2007,,EUR LMIC,Drug use disorders,3.028108
2008,,EUR LMIC,Drug use disorders,2.878372
2009,,EUR LMIC,Drug use disorders,2.62461
2010,,EUR LMIC,Drug use disorders,2.438524
2011,,EUR LMIC,Drug use disorders,2.290872
2012,,EUR LMIC,Drug use disorders,2.22711
2013,,EUR LMIC,Drug use disorders,2.204234
2014,,EUR LMIC,Drug use disorders,2.182908
2015,,EUR LMIC,Drug use disorders,2.13501
2016,,EUR LMIC,Drug use disorders,2.083599
2000,,High Income,Road injury,27.41715
2001,,High Income,Road injury,26.52682
2002,,High Income,Road injury,25.92027
2003,,High Income,Road injury,24.42954
2004,,High Income,Road injury,23.27407
2005,,High Income,Road injury,22.43507
2006,,High Income,Road injury,22.03402
2007,,High Income,Road injury,21.45454
2008,,High Income,Road injury,18.99996
2009,,High Income,Road injury,16.65604
2010,,High Income,Road injury,15.08894
2011,,High Income,Road injury,14.58626
2012,,High Income,Road injury,13.67176
2013,,High Income,Road injury,12.28149
2014,,High Income,Road injury,12.33546
2015,,High Income,Road injury,12.44489
2016,,High Income,Road injury,11.54805
2000,,High Income,Self-harm,10.5379
2001,,High Income,Self-harm,10.21996
2002,,High Income,Self-harm,9.760124
2003,,High Income,Self-harm,9.542617
2004,,High Income,Self-harm,9.89497
2005,,High Income,Self-harm,9.55264
2006,,High Income,Self-harm,9.38771
2007,,High Income,Self-harm,9.069899
2008,,High Income,Self-harm,9.574172
2009,,High Income,Self-harm,9.884312
2010,,High Income,Self-harm,9.534279
2011,,High Income,Self-harm,9.935187
2012,,High Income,Self-harm,9.77049
2013,,High Income,Self-harm,9.465579
2014,,High Income,Self-harm,9.75373
2015,,High Income,Self-harm,10.4482
2016,,High Income,Self-harm,10.16047
2000,,High Income,Drowning,2.902655
2001,,High Income,Drowning,3.061745
2002,,High Income,Drowning,2.680381
2003,,High Income,Drowning,2.510936
2004,,High Income,Drowning,2.483719
2005,,High Income,Drowning,2.427712
2006,,High Income,Drowning,2.411987
2007,,High Income,Drowning,2.514984
2008,,High Income,Drowning,2.368846
2009,,High Income,Drowning,2.347985
2010,,High Income,Drowning,2.327379
2011,,High Income,Drowning,1.923812
2012,,High Income,Drowning,1.930097
2013,,High Income,Drowning,2.08007
2014,,High Income,Drowning,1.869182
2015,,High Income,Drowning,1.848684
2016,,High Income,Drowning,1.989962
2000,,High Income,Interpersonal violence,6.329736
2001,,High Income,Interpersonal violence,6.358824
2002,,High Income,Interpersonal violence,6.279719
2003,,High Income,Interpersonal violence,6.357332
2004,,High Income,Interpersonal violence,6.215107
2005,,High Income,Interpersonal violence,6.818964
2006,,High Income,Interpersonal violence,7.257871
2007,,High Income,Interpersonal violence,7.045955
2008,,High Income,Interpersonal violence,6.759375
2009,,High Income,Interpersonal violence,6.307038
2010,,High Income,Interpersonal violence,6.029232
2011,,High Income,Interpersonal violence,5.63995
2012,,High Income,Interpersonal violence,5.542796
2013,,High Income,Interpersonal violence,5.008843
2014,,High Income,Interpersonal violence,4.954214
2015,,High Income,Interpersonal violence,5.917871
2016,,High Income,Interpersonal violence,6.097344
2000,,High Income,Leukaemia,1.898609
2001,,High Income,Leukaemia,1.731824
2002,,High Income,Leukaemia,1.613266
2003,,High Income,Leukaemia,1.475975
2004,,High Income,Leukaemia,1.506296
2005,,High Income,Leukaemia,1.475129
2006,,High Income,Leukaemia,1.463451
2007,,High Income,Leukaemia,1.447347
2008,,High Income,Leukaemia,1.343181
2009,,High Income,Leukaemia,1.27863
2010,,High Income,Leukaemia,1.309488
2011,,High Income,Leukaemia,1.242108
2012,,High Income,Leukaemia,1.22997
2013,,High Income,Leukaemia,1.080533
2014,,High Income,Leukaemia,1.070793
2015,,High Income,Leukaemia,1.139122
2016,,High Income,Leukaemia,1.133363
2000,,High Income,Drug use disorders,1.772544
2001,,High Income,Drug use disorders,1.796721
2002,,High Income,Drug use disorders,1.8995
2003,,High Income,Drug use disorders,1.997386
2004,,High Income,Drug use disorders,2.080633
2005,,High Income,Drug use disorders,2.221027
2006,,High Income,Drug use disorders,2.322609
2007,,High Income,Drug use disorders,2.354744
2008,,High Income,Drug use disorders,2.338566
2009,,High Income,Drug use disorders,2.287363
2010,,High Income,Drug use disorders,2.234082
2011,,High Income,Drug use disorders,2.193248
2012,,High Income,Drug use disorders,2.05359
2013,,High Income,Drug use disorders,2.019966
2014,,High Income,Drug use disorders,2.0136
2015,,High Income,Drug use disorders,2.018282
2016,,High Income,Drug use disorders,1.873986
2000,,SEAR LMIC,Road injury,19.56844
2001,,SEAR LMIC,Road injury,19.71679
2002,,SEAR LMIC,Road injury,20.10692
2003,,SEAR LMIC,Road injury,20.55969
2004,,SEAR LMIC,Road injury,21.64692
2005,,SEAR LMIC,Road injury,22.38055
2006,,SEAR LMIC,Road injury,23.08938
2007,,SEAR LMIC,Road injury,23.8352
2008,,SEAR LMIC,Road injury,24.68249
2009,,SEAR LMIC,Road injury,25.5392
2010,,SEAR LMIC,Road injury,26.45656
2011,,SEAR LMIC,Road injury,26.97756
2012,,SEAR LMIC,Road injury,26.95549
2013,,SEAR LMIC,Road injury,26.96396
2014,,SEAR LMIC,Road injury,27.15242
2015,,SEAR LMIC,Road injury,26.89769
2016,,SEAR LMIC,Road injury,26.86933
2000,,SEAR LMIC,Self-harm,16.33933
2001,,SEAR LMIC,Self-harm,16.10553
2002,,SEAR LMIC,Self-harm,15.8592
2003,,SEAR LMIC,Self-harm,15.58927
2004,,SEAR LMIC,Self-harm,15.23469
2005,,SEAR LMIC,Self-harm,14.81379
2006,,SEAR LMIC,Self-harm,14.48791
